,city,team1
465,Sharjah,Kings XI Punjab
466,,Chennai Super Kings
467,Sharjah,Kolkata Knight Riders
468,,Sunrisers Hyderabad
469,,Mumbai Indians
470,Abu Dhabi,Royal Challengers Bangalore
471,Abu Dhabi,Kings XI Punjab
472,Sharjah,Mumbai Indians
473,Sharjah,Sunrisers Hyderabad
474,,Royal Challengers Bangalore
475,Abu Dhabi,Rajasthan Royals
476,,Sunrisers Hyderabad
477,Ranchi,Chennai Super Kings
478,Mumbai,Kings XI Punjab
479,Delhi,Delhi Daredevils
480,Bangalore,Sunrisers Hyderabad
481,Ahmedabad,Rajasthan Royals
482,Delhi,Delhi Daredevils
483,Mumbai,Mumbai Indians
484,Delhi,Delhi Daredevils
485,Cuttack,Kings XI Punjab
486,Ahmedabad,Sunrisers Hyderabad
487,Bangalore,Kings XI Punjab
488,Delhi,Delhi Daredevils
489,Mumbai,Mumbai Indians
490,Cuttack,Kings XI Punjab
491,Bangalore,Royal Challengers Bangalore
492,Hyderabad,Sunrisers Hyderabad
493,Ranchi,Rajasthan Royals
494,Bangalore,Royal Challengers Bangalore
495,Hyderabad,Sunrisers Hyderabad
496,Cuttack,Mumbai Indians
497,Ahmedabad,Rajasthan Royals
498,Ranchi,Chennai Super Kings
499,Hyderabad,Sunrisers Hyderabad
500,Ahmedabad,Mumbai Indians
501,Delhi,Delhi Daredevils
502,Hyderabad,Royal Challengers Bangalore
503,Kolkata,Chennai Super Kings
504,Chandigarh,Kings XI Punjab
505,Kolkata,Kolkata Knight Riders
506,Ranchi,Chennai Super Kings
507,Mumbai,Mumbai Indians
508,Chandigarh,Kings XI Punjab
509,Bangalore,Royal Challengers Bangalore
510,Kolkata,Sunrisers Hyderabad
511,Chandigarh,Delhi Daredevils
512,Mumbai,Rajasthan Royals
513,Kolkata,Kolkata Knight Riders
514,Mumbai,Mumbai Indians
515,Mumbai,Kings XI Punjab
516,Bangalore,Kings XI Punjab
517,Kolkata,Mumbai Indians
518,Chennai,Chennai Super Kings
519,Pune,Rajasthan Royals
520,Chennai,Chennai Super Kings
521,Kolkata,Kolkata Knight Riders
522,Delhi,Delhi Daredevils
523,Mumbai,Kings XI Punjab
524,Bangalore,Royal Challengers Bangalore
525,Ahmedabad,Mumbai Indians
526,Kolkata,Chennai Super Kings
527,Pune,Kings XI Punjab
528,Visakhapatnam,Sunrisers Hyderabad
529,Mumbai,Mumbai Indians
530,Visakhapatnam,Delhi Daredevils
531,Pune,Kings XI Punjab
532,Ahmedabad,Chennai Super Kings
533,Bangalore,Mumbai Indians
534,Delhi,Delhi Daredevils
535,Ahmedabad,Rajasthan Royals
536,Visakhapatnam,Sunrisers Hyderabad
537,Bangalore,Chennai Super Kings
538,Delhi,Delhi Daredevils
539,Ahmedabad,Rajasthan Royals
540,Mumbai,Mumbai Indians
541,Chennai,Chennai Super Kings
542,Delhi,Delhi Daredevils
543,Chandigarh,Sunrisers Hyderabad
544,Kolkata,Kolkata Knight Riders
545,Bangalore,Royal Challengers Bangalore
546,Chennai,Chennai Super Kings
547,Delhi,Kings XI Punjab
548,Mumbai,Mumbai Indians
549,Bangalore,Kolkata Knight Riders
550,Hyderabad,Sunrisers Hyderabad
551,Chandigarh,Mumbai Indians
552,Mumbai,Rajasthan Royals
553,Chennai,Chennai Super Kings
554,Kolkata,Kolkata Knight Riders
555,Mumbai,Delhi Daredevils
556,Bangalore,Royal Challengers Bangalore
557,Mumbai,Sunrisers Hyderabad
558,Chennai,Chennai Super Kings
559,Kolkata,Kings XI Punjab
560,Raipur,Sunrisers Hyderabad
561,Mumbai,Royal Challengers Bangalore
562,Chennai,Chennai Super Kings
563,Hyderabad,Sunrisers Hyderabad
564,Raipur,Chennai Super Kings
565,Chandigarh,Kings XI Punjab
566,Mumbai,Mumbai Indians
567,Hyderabad,Sunrisers Hyderabad
568,Chandigarh,Kings XI Punjab
569,Mumbai,Rajasthan Royals
570,Bangalore,Delhi Daredevils
571,Hyderabad,Sunrisers Hyderabad
572,Mumbai,Mumbai Indians
573,Pune,Royal Challengers Bangalore
574,Ranchi,Royal Challengers Bangalore
575,Kolkata,Mumbai Indians
576,Mumbai,Mumbai Indians
577,Kolkata,Delhi Daredevils
578,Chandigarh,Kings XI Punjab
579,Bangalore,Royal Challengers Bangalore
580,Kolkata,Kolkata Knight Riders
581,Rajkot,Rising Pune Supergiants
582,Delhi,Kings XI Punjab
583,Hyderabad,Sunrisers Hyderabad
584,Mumbai,Mumbai Indians
585,Chandigarh,Rising Pune Supergiants
586,Bangalore,Royal Challengers Bangalore
587,Hyderabad,Mumbai Indians
588,Chandigarh,Kings XI Punjab
589,Mumbai,Royal Challengers Bangalore
590,Rajkot,Gujarat Lions
591,Pune,Royal Challengers Bangalore
592,Delhi,Delhi Daredevils
593,Hyderabad,Kings XI Punjab
594,Rajkot,Royal Challengers Bangalore
595,Pune,Rising Pune Supergiants
596,Chandigarh,Mumbai Indians
597,Hyderabad,Sunrisers Hyderabad
598,Delhi,Gujarat Lions
599,Mumbai,Kolkata Knight Riders
600,Pune,Rising Pune Supergiants
601,Delhi,Delhi Daredevils
602,Hyderabad,Sunrisers Hyderabad
603,Rajkot,Kings XI Punjab
604,Pune,Rising Pune Supergiants
605,Bangalore,Royal Challengers Bangalore
606,Rajkot,Gujarat Lions
607,Kolkata,Kolkata Knight Riders
608,Delhi,Delhi Daredevils
609,Hyderabad,Gujarat Lions
610,Bangalore,Rising Pune Supergiants
611,Chandigarh,Kings XI Punjab
612,Visakhapatnam,Sunrisers Hyderabad
613,Kolkata,Kolkata Knight Riders
614,Chandigarh,Royal Challengers Bangalore
615,Visakhapatnam,Sunrisers Hyderabad
616,Bangalore,Royal Challengers Bangalore
617,Hyderabad,Sunrisers Hyderabad
618,Visakhapatnam,Mumbai Indians
619,Bangalore,Royal Challengers Bangalore
620,Kolkata,Rising Pune Supergiants
621,Chandigarh,Kings XI Punjab
622,Visakhapatnam,Mumbai Indians
623,Kolkata,Kolkata Knight Riders
624,Visakhapatnam,Delhi Daredevils
625,Bangalore,Royal Challengers Bangalore
626,Kanpur,Kolkata Knight Riders
627,Raipur,Sunrisers Hyderabad
628,Visakhapatnam,Kings XI Punjab
629,Kanpur,Mumbai Indians
630,Kolkata,Kolkata Knight Riders
631,Raipur,Delhi Daredevils
632,Bangalore,Gujarat Lions
633,Delhi,Sunrisers Hyderabad
634,Delhi,Gujarat Lions
635,Bangalore,Sunrisers Hyderabad
